Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0004,
Sample Interval,4e-07,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
-1.8896e-03,1.93,1.03
-1.8892e-03,1.93,1.05
-1.8888e-03,1.95,1.07
-1.8884e-03,1.95,1.07
-1.8880e-03,1.93,1.09
-1.8876e-03,1.95,1.09
-1.8872e-03,1.93,1.11
-1.8868e-03,1.93,1.15
-1.8864e-03,1.97,1.17
-1.8860e-03,1.95,1.15
-1.8856e-03,1.95,1.17
-1.8852e-03,1.97,1.17
-1.8848e-03,1.95,1.19
-1.8844e-03,1.95,1.21
-1.8840e-03,1.93,1.21
-1.8836e-03,1.93,1.23
-1.8832e-03,1.95,1.23
-1.8828e-03,1.93,1.27
-1.8824e-03,1.93,1.27
-1.8820e-03,1.95,1.29
-1.8816e-03,1.97,1.29
-1.8812e-03,1.93,1.31
-1.8808e-03,1.95,1.31
-1.8804e-03,1.95,1.33
-1.8800e-03,1.95,1.33
-1.8796e-03,1.97,1.33
-1.8792e-03,1.97,1.35
-1.8788e-03,1.97,1.37
-1.8784e-03,1.95,1.37
-1.8780e-03,1.95,1.39
-1.8776e-03,1.95,1.39
-1.8772e-03,1.95,1.39
-1.8768e-03,1.97,1.43
-1.8764e-03,1.93,1.41
-1.8760e-03,1.97,1.43
-1.8756e-03,1.97,1.43
-1.8752e-03,1.95,1.45
-1.8748e-03,1.95,1.43
-1.8744e-03,1.97,1.45
-1.8740e-03,1.97,1.45
-1.8736e-03,1.97,1.47
-1.8732e-03,1.95,1.47
-1.8728e-03,1.97,1.49
-1.8724e-03,1.97,1.49
-1.8720e-03,1.95,1.51
-1.8716e-03,1.95,1.49
-1.8712e-03,1.97,1.53
-1.8708e-03,1.95,1.51
-1.8704e-03,1.97,1.53
-1.8700e-03,1.95,1.53
-1.8696e-03,1.99,1.55
-1.8692e-03,1.95,1.53
-1.8688e-03,1.95,1.55
-1.8684e-03,1.95,1.55
-1.8680e-03,1.97,1.55
-1.8676e-03,1.95,1.57
-1.8672e-03,1.97,1.61
-1.8668e-03,1.95,1.59
-1.8664e-03,1.97,1.59
-1.8660e-03,1.95,1.61
-1.8656e-03,1.95,1.59
-1.8652e-03,1.95,1.61
-1.8648e-03,1.95,1.63
-1.8644e-03,1.93,1.65
-1.8640e-03,1.95,1.63
-1.8636e-03,1.97,1.63
-1.8632e-03,1.99,1.63
-1.8628e-03,1.95,1.65
-1.8624e-03,1.97,1.67
-1.8620e-03,1.97,1.65
-1.8616e-03,1.95,1.69
-1.8612e-03,1.93,1.65
-1.8608e-03,1.97,1.67
-1.8604e-03,1.95,1.67
-1.8600e-03,1.99,1.69
-1.8596e-03,1.97,1.69
-1.8592e-03,1.95,1.71
-1.8588e-03,1.95,1.69
-1.8584e-03,1.97,1.69
-1.8580e-03,1.95,1.71
-1.8576e-03,1.97,1.73
-1.8572e-03,1.95,1.71
-1.8568e-03,1.95,1.71
-1.8564e-03,1.97,1.71
-1.8560e-03,1.97,1.73
-1.8556e-03,1.95,1.71
-1.8552e-03,1.97,1.73
-1.8548e-03,1.93,1.73
-1.8544e-03,1.97,1.75
-1.8540e-03,1.97,1.75
-1.8536e-03,1.95,1.73
-1.8532e-03,1.95,1.75
-1.8528e-03,1.95,1.77
-1.8524e-03,1.97,1.75
-1.8520e-03,1.97,1.77
-1.8516e-03,1.95,1.79
-1.8512e-03,1.97,1.77
-1.8508e-03,1.97,1.77
-1.8504e-03,1.95,1.79
-1.8500e-03,1.95,1.79
-1.8496e-03,1.95,1.77
-1.8492e-03,1.95,1.81
-1.8488e-03,1.97,1.79
-1.8484e-03,1.97,1.81
-1.8480e-03,1.97,1.79
-1.8476e-03,1.95,1.79
-1.8472e-03,1.95,1.79
-1.8468e-03,1.97,1.79
-1.8464e-03,1.95,1.79
-1.8460e-03,1.95,1.81
-1.8456e-03,1.97,1.81
-1.8452e-03,1.95,1.83
-1.8448e-03,1.97,1.79
-1.8444e-03,1.95,1.81
-1.8440e-03,1.95,1.83
-1.8436e-03,1.97,1.83
-1.8432e-03,1.97,1.81
-1.8428e-03,1.95,1.83
-1.8424e-03,1.97,1.83
-1.8420e-03,1.95,1.83
-1.8416e-03,1.97,1.83
-1.8412e-03,1.97,1.83
-1.8408e-03,1.95,1.87
-1.8404e-03,1.95,1.85
-1.8400e-03,1.97,1.87
-1.8396e-03,1.95,1.85
-1.8392e-03,1.95,1.85
-1.8388e-03,1.95,1.85
-1.8384e-03,1.95,1.85
-1.8380e-03,1.93,1.89
-1.8376e-03,1.95,1.87
-1.8372e-03,1.95,1.87
-1.8368e-03,1.97,1.85
-1.8364e-03,1.97,1.87
-1.8360e-03,1.93,1.87
-1.8356e-03,1.97,1.89
-1.8352e-03,1.97,1.89
-1.8348e-03,1.97,1.87
-1.8344e-03,1.97,1.87
-1.8340e-03,1.93,1.87
-1.8336e-03,1.95,1.87
-1.8332e-03,1.97,1.87
-1.8328e-03,1.97,1.87
-1.8324e-03,1.95,1.87
-1.8320e-03,1.93,1.87
-1.8316e-03,1.99,1.89
-1.8312e-03,1.97,1.87
-1.8308e-03,1.93,1.89
-1.8304e-03,1.97,1.91
-1.8300e-03,1.97,1.89
-1.8296e-03,1.95,1.89
-1.8292e-03,1.97,1.89
-1.8288e-03,1.95,1.91
-1.8284e-03,1.95,1.89
-1.8280e-03,1.97,1.91
-1.8276e-03,1.97,1.93
-1.8272e-03,1.97,1.89
-1.8268e-03,1.97,1.87
-1.8264e-03,1.95,1.91
-1.8260e-03,1.95,1.89
-1.8256e-03,1.97,1.93
-1.8252e-03,1.97,1.91
-1.8248e-03,1.95,1.93
-1.8244e-03,1.97,1.93
-1.8240e-03,1.93,1.93
-1.8236e-03,1.97,1.93
-1.8232e-03,1.97,1.91
-1.8228e-03,1.95,1.93
-1.8224e-03,1.95,1.91
-1.8220e-03,1.97,1.95
-1.8216e-03,1.95,1.93
-1.8212e-03,1.95,1.93
-1.8208e-03,1.97,1.93
-1.8204e-03,1.97,1.95
-1.8200e-03,1.97,1.93
-1.8196e-03,1.95,1.93
-1.8192e-03,1.95,1.93
-1.8188e-03,1.97,1.95
-1.8184e-03,1.97,1.93
-1.8180e-03,1.97,1.93
-1.8176e-03,1.97,1.89
-1.8172e-03,1.99,1.93
-1.8168e-03,1.97,1.93
-1.8164e-03,1.95,1.93
-1.8160e-03,1.97,1.95
-1.8156e-03,1.97,1.95
-1.8152e-03,1.97,1.93
-1.8148e-03,1.97,1.95
-1.8144e-03,1.97,1.95
-1.8140e-03,1.97,1.95
-1.8136e-03,1.97,1.95
-1.8132e-03,1.95,1.95
-1.8128e-03,1.95,1.93
-1.8124e-03,1.97,1.93
-1.8120e-03,1.97,1.95
-1.8116e-03,1.95,1.95
-1.8112e-03,1.97,1.97
-1.8108e-03,1.97,1.95
-1.8104e-03,1.93,1.95
-1.8100e-03,1.97,1.95
-1.8096e-03,1.97,1.97
-1.8092e-03,1.95,1.93
-1.8088e-03,1.97,1.97
-1.8084e-03,1.95,1.95
-1.8080e-03,1.97,1.95
-1.8076e-03,1.97,1.95
-1.8072e-03,1.95,1.95
-1.8068e-03,1.95,1.95
-1.8064e-03,1.95,1.97
-1.8060e-03,1.95,1.95
-1.8056e-03,1.95,1.95
-1.8052e-03,1.97,1.97
-1.8048e-03,1.97,1.95
-1.8044e-03,1.93,1.97
-1.8040e-03,1.97,1.95
-1.8036e-03,1.97,1.97
-1.8032e-03,1.97,1.97
-1.8028e-03,1.95,1.95
-1.8024e-03,1.97,1.95
-1.8020e-03,1.97,1.95
-1.8016e-03,1.99,1.95
-1.8012e-03,1.97,1.97
-1.8008e-03,1.97,1.97
-1.8004e-03,1.97,1.97
-1.8000e-03,1.95,1.97
-1.7996e-03,1.97,1.95
-1.7992e-03,1.97,1.97
-1.7988e-03,1.97,1.97
-1.7984e-03,1.97,1.95
-1.7980e-03,1.99,1.95
-1.7976e-03,1.97,1.99
-1.7972e-03,1.97,1.97
-1.7968e-03,1.99,1.97
-1.7964e-03,1.97,1.97
-1.7960e-03,1.97,1.97
-1.7956e-03,1.97,1.97
-1.7952e-03,1.97,1.97
-1.7948e-03,1.97,1.95
-1.7944e-03,1.97,1.97
-1.7940e-03,1.97,2.01
-1.7936e-03,1.97,1.97
-1.7932e-03,1.97,1.95
-1.7928e-03,1.95,1.99
-1.7924e-03,1.95,2.01
-1.7920e-03,1.97,1.97
-1.7916e-03,1.97,1.97
-1.7912e-03,1.97,1.97
-1.7908e-03,1.97,1.95
-1.7904e-03,1.97,1.97
-1.7900e-03,1.95,1.97
-1.7896e-03,1.97,1.99
-1.7892e-03,1.95,1.97
-1.7888e-03,1.97,1.99
-1.7884e-03,1.97,1.97
-1.7880e-03,1.95,1.99
-1.7876e-03,1.97,1.99
-1.7872e-03,1.97,1.99
-1.7868e-03,1.95,1.97
-1.7864e-03,1.93,1.97
-1.7860e-03,1.95,1.99
-1.7856e-03,1.97,2.01
-1.7852e-03,1.95,1.99
-1.7848e-03,1.97,1.99
-1.7844e-03,1.99,1.97
-1.7840e-03,1.97,1.99
-1.7836e-03,1.97,1.97
-1.7832e-03,1.95,2.01
-1.7828e-03,1.95,2.01
-1.7824e-03,1.95,1.99
-1.7820e-03,1.97,2.01
-1.7816e-03,1.97,1.99
-1.7812e-03,1.97,2.01
-1.7808e-03,1.95,2.01
-1.7804e-03,1.93,1.99
-1.7800e-03,1.99,1.97
-1.7796e-03,1.95,1.99
-1.7792e-03,1.97,1.99
-1.7788e-03,1.95,1.99
-1.7784e-03,1.97,1.99
-1.7780e-03,1.95,1.99
-1.7776e-03,1.95,1.99
-1.7772e-03,1.97,1.99
-1.7768e-03,1.97,1.95
-1.7764e-03,1.97,2.01
-1.7760e-03,1.97,1.99
-1.7756e-03,1.95,1.99
-1.7752e-03,1.97,2.01
-1.7748e-03,1.95,1.99
-1.7744e-03,1.97,1.99
-1.7740e-03,1.97,1.99
-1.7736e-03,1.97,1.99
-1.7732e-03,1.95,1.99
-1.7728e-03,1.97,2.01
-1.7724e-03,1.99,1.99
-1.7720e-03,1.97,2.01
-1.7716e-03,1.95,2.01
-1.7712e-03,1.97,1.99
-1.7708e-03,1.97,2.01
-1.7704e-03,1.97,2.01
-1.7700e-03,1.97,1.99
-1.7696e-03,1.97,1.99
-1.7692e-03,1.95,2.01
-1.7688e-03,1.97,1.99
-1.7684e-03,1.97,2.01
-1.7680e-03,1.95,1.99
-1.7676e-03,1.97,1.99
-1.7672e-03,1.95,1.99
-1.7668e-03,1.95,1.99
-1.7664e-03,1.99,1.99
-1.7660e-03,1.95,1.99
-1.7656e-03,1.97,1.99
-1.7652e-03,1.95,1.99
-1.7648e-03,1.97,2.01
-1.7644e-03,1.99,1.99
-1.7640e-03,1.97,1.99
-1.7636e-03,1.97,2.01
-1.7632e-03,1.97,2.03
-1.7628e-03,1.95,1.99
-1.7624e-03,1.95,1.99
-1.7620e-03,1.95,1.99
-1.7616e-03,1.97,2.01
-1.7612e-03,1.95,2.01
-1.7608e-03,1.97,2.01
-1.7604e-03,1.97,1.99
-1.7600e-03,1.95,1.99
-1.7596e-03,1.97,2.01
-1.7592e-03,1.95,2.01
-1.7588e-03,1.97,2.01
-1.7584e-03,1.97,1.99
-1.7580e-03,1.97,2.01
-1.7576e-03,1.97,1.99
-1.7572e-03,1.97,1.99
-1.7568e-03,1.99,1.99
-1.7564e-03,1.95,2.01
-1.7560e-03,1.97,2.01
-1.7556e-03,1.95,1.99
-1.7552e-03,1.95,2.01
-1.7548e-03,1.97,2.01
-1.7544e-03,1.95,2.01
-1.7540e-03,1.95,2.01
-1.7536e-03,1.97,2.01
-1.7532e-03,1.95,2.01
-1.7528e-03,1.97,2.01
-1.7524e-03,1.97,1.99
-1.7520e-03,1.97,2.01
-1.7516e-03,1.95,1.99
