Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4e-05,
Sample Interval,4e-08,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,0.2
Label,,
TIME,CH1,CH2
-1.8340e-04,-0.062,-0.06
-1.8336e-04,-0.054,-0.052
-1.8332e-04,-0.07,-0.076
-1.8328e-04,-0.062,-0.068
-1.8324e-04,-0.066,-0.06
-1.8320e-04,-0.058,-0.052
-1.8316e-04,-0.058,-0.052
-1.8312e-04,-0.058,-0.036
-1.8308e-04,-0.058,-0.052
-1.8304e-04,-0.058,-0.052
-1.8300e-04,-0.058,-0.044
-1.8296e-04,-0.054,-0.036
-1.8292e-04,-0.054,-0.076
-1.8288e-04,-0.05,-0.052
-1.8284e-04,-0.058,-0.036
-1.8280e-04,-0.05,-0.036
-1.8276e-04,-0.046,-0.052
-1.8272e-04,-0.05,-0.028
-1.8268e-04,-0.054,-0.036
-1.8264e-04,-0.054,-0.036
-1.8260e-04,-0.042,-0.044
-1.8256e-04,-0.042,-0.028
-1.8252e-04,-0.046,-0.02
-1.8248e-04,-0.046,-0.036
-1.8244e-04,-0.054,-0.036
-1.8240e-04,-0.042,-0.028
-1.8236e-04,-0.038,-0.028
-1.8232e-04,-0.046,-0.028
-1.8228e-04,-0.03,-0.02
-1.8224e-04,-0.038,-0.036
-1.8220e-04,-0.03,-0.02
-1.8216e-04,-0.038,-0.004
-1.8212e-04,-0.038,-0.02
-1.8208e-04,-0.03,-0.02
-1.8204e-04,-0.034,-0.004
-1.8200e-04,-0.026,-0.028
-1.8196e-04,-0.022,-0.004
-1.8192e-04,-0.034,-0.02
-1.8188e-04,-0.038,-0.036
-1.8184e-04,-0.022,0.004
-1.8180e-04,-0.03,-0.036
-1.8176e-04,-0.03,-0.004
-1.8172e-04,-0.026,-0.012
-1.8168e-04,-0.022,-0.012
-1.8164e-04,-0.01,-0.012
-1.8160e-04,-0.026,-0.02
-1.8156e-04,-0.03,-0.004
-1.8152e-04,-0.026,-0.028
-1.8148e-04,-0.018,-0.02
-1.8144e-04,-0.018,-0.036
-1.8140e-04,-0.022,-0.004
-1.8136e-04,-0.034,-0.028
-1.8132e-04,-0.026,-0.012
-1.8128e-04,-0.018,-0.028
-1.8124e-04,-0.018,-0.012
-1.8120e-04,-0.014,0.012
-1.8116e-04,-0.014,-0.012
-1.8112e-04,-0.006,-0.02
-1.8108e-04,-0.01,0.004
-1.8104e-04,-0.018,0.004
-1.8100e-04,-0.014,-0.004
-1.8096e-04,-0.014,-0.004
-1.8092e-04,-0.002,-0.012
-1.8088e-04,-0.01,0.012
-1.8084e-04,-0.014,-0.012
-1.8080e-04,-0.01,-0.004
-1.8076e-04,-0.014,0.012
-1.8072e-04,-0.002,0.004
-1.8068e-04,-0.01,-0.004
-1.8064e-04,-0.002,-0.012
-1.8060e-04,-0.002,0.004
-1.8056e-04,-0.01,0.02
-1.8052e-04,-0.01,0.004
-1.8048e-04,-0.01,-0.02
-1.8044e-04,0.002,0.004
-1.8040e-04,-0.002,0.012
-1.8036e-04,-0.006,-0.004
-1.8032e-04,0.002,0.004
-1.8028e-04,-0.006,-0.004
-1.8024e-04,-0.002,0.012
-1.8020e-04,0.002,0.012
-1.8016e-04,0.006,0.02
-1.8012e-04,-0.006,0.012
-1.8008e-04,0.002,0.012
-1.8004e-04,0.01,0.02
-1.8000e-04,0.014,0.012
-1.7996e-04,0.002,0.004
-1.7992e-04,0.006,0.012
-1.7988e-04,0.006,0.02
-1.7984e-04,0.01,0.028
-1.7980e-04,-0.006,0.012
-1.7976e-04,0.002,0.028
-1.7972e-04,0.01,0.02
-1.7968e-04,0.006,0.028
-1.7964e-04,0.014,0.02
-1.7960e-04,0.006,0.02
-1.7956e-04,0.006,0.028
-1.7952e-04,0.022,0.044
-1.7948e-04,0.014,0.028
-1.7944e-04,0.022,0.028
-1.7940e-04,0.014,0.028
-1.7936e-04,0.018,0.044
-1.7932e-04,0.018,0.028
-1.7928e-04,0.03,0.044
-1.7924e-04,0.022,0.036
-1.7920e-04,0.026,0.028
-1.7916e-04,0.014,0.036
-1.7912e-04,0.022,0.02
-1.7908e-04,0.022,0.044
-1.7904e-04,0.026,0.044
-1.7900e-04,0.03,0.028
-1.7896e-04,0.014,0.028
-1.7892e-04,0.022,0.044
-1.7888e-04,0.026,0.02
-1.7884e-04,0.022,0.044
-1.7880e-04,0.022,0.036
-1.7876e-04,0.014,0.028
-1.7872e-04,0.03,0.044
-1.7868e-04,0.03,0.02
-1.7864e-04,0.03,0.044
-1.7860e-04,0.022,0.044
-1.7856e-04,0.042,0.044
-1.7852e-04,0.03,0.044
-1.7848e-04,0.034,0.052
-1.7844e-04,0.034,0.052
-1.7840e-04,0.034,0.036
-1.7836e-04,0.034,0.052
-1.7832e-04,0.038,0.052
-1.7828e-04,0.038,0.06
-1.7824e-04,0.05,0.036
-1.7820e-04,0.042,0.052
-1.7816e-04,0.046,0.044
-1.7812e-04,0.054,0.052
-1.7808e-04,0.038,0.052
-1.7804e-04,0.038,0.052
-1.7800e-04,0.042,0.052
-1.7796e-04,0.05,0.044
-1.7792e-04,0.042,0.06
-1.7788e-04,0.05,0.06
-1.7784e-04,0.042,0.06
-1.7780e-04,0.054,0.044
-1.7776e-04,0.042,0.06
-1.7772e-04,0.046,0.052
-1.7768e-04,0.054,0.044
-1.7764e-04,0.054,0.052
-1.7760e-04,0.042,0.052
-1.7756e-04,0.042,0.068
-1.7752e-04,0.054,0.06
-1.7748e-04,0.062,0.052
-1.7744e-04,0.046,0.052
-1.7740e-04,0.046,0.06
-1.7736e-04,0.058,0.076
-1.7732e-04,0.054,0.068
-1.7728e-04,0.054,0.06
-1.7724e-04,0.058,0.084
-1.7720e-04,0.058,0.068
-1.7716e-04,0.066,0.068
-1.7712e-04,0.07,0.06
-1.7708e-04,0.062,0.084
-1.7704e-04,0.066,0.084
-1.7700e-04,0.062,0.076
-1.7696e-04,0.058,0.076
-1.7692e-04,0.066,0.068
-1.7688e-04,0.062,0.076
-1.7684e-04,0.062,0.068
-1.7680e-04,0.054,0.068
-1.7676e-04,0.066,0.068
