Model,DPO4034,DPO4034
Firmware Version,2.1,2.1
,,
Point Format,Y,Y
Horizontal Units,S,S
Horizontal Scale,0.0001,0.0001
Sample Interval,1.00E-07,1.00E-07
Record Length,10000,10000
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,1
Label,,
TIME,CH1,CH2
-4.68E-04,-0.216,-0.14
-4.68E-04,-0.216,-0.18
-4.68E-04,-0.216,-0.14
-4.68E-04,-0.208,-0.14
-4.68E-04,-0.208,-0.18
-4.68E-04,-0.204,-0.06
-4.68E-04,-0.208,-0.18
-4.68E-04,-0.208,-0.14
-4.68E-04,-0.208,-0.14
-4.67E-04,-0.204,-0.1
-4.67E-04,-0.2,-0.1
-4.67E-04,-0.204,-0.18
-4.67E-04,-0.204,-0.18
-4.67E-04,-0.204,-0.1
-4.67E-04,-0.192,-0.06
-4.67E-04,-0.192,-0.06
-4.67E-04,-0.196,-0.14
-4.67E-04,-0.184,-0.18
-4.67E-04,-0.18,-0.18
-4.66E-04,-0.184,-0.06
-4.66E-04,-0.188,-0.18
-4.66E-04,-0.188,-0.14
-4.66E-04,-0.184,-0.18
-4.66E-04,-0.184,-0.06
-4.66E-04,-0.2,-0.18
-4.66E-04,-0.192,-0.1
-4.66E-04,-0.204,-0.18
-4.66E-04,-0.204,-0.1
-4.66E-04,-0.196,-0.18
-4.65E-04,-0.204,-0.14
-4.65E-04,-0.208,-0.02
-4.65E-04,-0.212,-0.18
-4.65E-04,-0.208,-0.06
-4.65E-04,-0.204,-0.06
-4.65E-04,-0.204,-0.14
-4.65E-04,-0.208,-0.14
-4.65E-04,-0.22,-0.1
-4.65E-04,-0.216,-0.14
-4.65E-04,-0.216,-0.26
-4.64E-04,-0.22,-0.18
-4.64E-04,-0.216,-0.1
-4.64E-04,-0.232,-0.18
-4.64E-04,-0.216,-0.14
-4.64E-04,-0.232,-0.22
-4.64E-04,-0.232,-0.18
-4.64E-04,-0.224,-0.14
-4.64E-04,-0.22,-0.18
-4.64E-04,-0.224,-0.1
-4.64E-04,-0.236,-0.1
-4.63E-04,-0.236,-0.14
-4.63E-04,-0.244,-0.26
-4.63E-04,-0.232,-0.18
-4.63E-04,-0.248,-0.22
-4.63E-04,-0.24,-0.14
-4.63E-04,-0.244,-0.22
-4.63E-04,-0.244,-0.22
-4.63E-04,-0.248,-0.22
-4.63E-04,-0.248,-0.14
-4.63E-04,-0.256,-0.18
-4.62E-04,-0.26,-0.22
-4.62E-04,-0.252,-0.18
-4.62E-04,-0.256,-0.22
-4.62E-04,-0.264,-0.22
-4.62E-04,-0.252,-0.22
-4.62E-04,-0.248,-0.22
-4.62E-04,-0.268,-0.14
-4.62E-04,-0.264,-0.26
-4.62E-04,-0.276,-0.18
-4.62E-04,-0.264,-0.14
-4.61E-04,-0.26,-0.26
-4.61E-04,-0.264,-0.26
-4.61E-04,-0.268,-0.18
-4.61E-04,-0.284,-0.18
-4.61E-04,-0.28,-0.22
-4.61E-04,-0.28,-0.18
-4.61E-04,-0.28,-0.22
-4.61E-04,-0.288,-0.22
-4.61E-04,-0.284,-0.22
-4.61E-04,-0.288,-0.22
-4.60E-04,-0.28,-0.1
-4.60E-04,-0.288,-0.22
-4.60E-04,-0.292,-0.22
-4.60E-04,-0.3,-0.26
-4.60E-04,-0.304,-0.3
-4.60E-04,-0.296,-0.22
-4.60E-04,-0.288,-0.22
-4.60E-04,-0.288,-0.22
-4.60E-04,-0.3,-0.26
-4.60E-04,-0.296,-0.18
-4.59E-04,-0.3,-0.14
-4.59E-04,-0.3,-0.22
-4.59E-04,-0.3,-0.22
-4.59E-04,-0.304,-0.26
-4.59E-04,-0.308,-0.18
-4.59E-04,-0.308,-0.22
-4.59E-04,-0.316,-0.34
-4.59E-04,-0.312,-0.26
-4.59E-04,-0.308,-0.34
-4.59E-04,-0.316,-0.34
-4.58E-04,-0.316,-0.26
-4.58E-04,-0.324,-0.18
-4.58E-04,-0.316,-0.22
-4.58E-04,-0.328,-0.3
-4.58E-04,-0.32,-0.3
-4.58E-04,-0.324,-0.22
-4.58E-04,-0.332,-0.18
-4.58E-04,-0.324,-0.18
-4.58E-04,-0.328,-0.3
-4.58E-04,-0.32,-0.3
-4.57E-04,-0.336,-0.22
-4.57E-04,-0.34,-0.22
-4.57E-04,-0.34,-0.22
-4.57E-04,-0.344,-0.22
-4.57E-04,-0.34,-0.22
-4.57E-04,-0.348,-0.22
-4.57E-04,-0.344,-0.22
-4.57E-04,-0.344,-0.26
-4.57E-04,-0.344,-0.18
-4.57E-04,-0.348,-0.22
-4.56E-04,-0.356,-0.34
-4.56E-04,-0.352,-0.18
-4.56E-04,-0.344,-0.3
-4.56E-04,-0.356,-0.3
-4.56E-04,-0.352,-0.3
-4.56E-04,-0.364,-0.22
-4.56E-04,-0.356,-0.26
-4.56E-04,-0.348,-0.18
-4.56E-04,-0.368,-0.22
-4.56E-04,-0.36,-0.34
-4.55E-04,-0.36,-0.26
-4.55E-04,-0.368,-0.26
-4.55E-04,-0.36,-0.34
-4.55E-04,-0.368,-0.26
-4.55E-04,-0.372,-0.42
-4.55E-04,-0.364,-0.34
-4.55E-04,-0.376,-0.3
-4.55E-04,-0.372,-0.22
-4.55E-04,-0.38,-0.34
-4.55E-04,-0.384,-0.26
-4.54E-04,-0.384,-0.26
-4.54E-04,-0.384,-0.3
-4.54E-04,-0.388,-0.38
-4.54E-04,-0.38,-0.34
-4.54E-04,-0.388,-0.3
-4.54E-04,-0.38,-0.34
-4.54E-04,-0.388,-0.34
-4.54E-04,-0.388,-0.34
-4.54E-04,-0.396,-0.34
