Model,DPO4034
Firmware Version,2.1

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,2e-06,
Record Length,10000,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,1
Label,,
TIME,CH1,CH2
-9.438e-03,-1.19,0.06
-9.436e-03,-1.17,0.06
-9.434e-03,-1.17,0.06
-9.432e-03,-1.19,0.06
-9.430e-03,-1.21,0.06
-9.428e-03,-1.15,0.06
-9.426e-03,-1.19,0.1
-9.424e-03,-1.15,0.06
-9.422e-03,-1.13,0.1
-9.420e-03,-1.17,0.06
-9.418e-03,-1.15,0.06
-9.416e-03,-1.15,0.06
-9.414e-03,-1.17,0.1
-9.412e-03,-1.15,0.06
-9.410e-03,-1.19,0.06
-9.408e-03,-1.19,0.06
-9.406e-03,-1.13,0.1
-9.404e-03,-1.15,0.06
-9.402e-03,-1.13,0.06
-9.400e-03,-1.15,0.02
-9.398e-03,-1.15,0.06
-9.396e-03,-1.13,0.06
-9.394e-03,-1.13,0.06
-9.392e-03,-1.11,0.06
-9.390e-03,-1.13,0.06
-9.388e-03,-1.15,0.06
-9.386e-03,-1.09,0.1
-9.384e-03,-1.13,0.06
-9.382e-03,-1.15,0.06
-9.380e-03,-1.13,0.06
-9.378e-03,-1.09,0.06
-9.376e-03,-1.11,0.06
-9.374e-03,-1.13,0.1
-9.372e-03,-1.11,0.1
-9.370e-03,-1.09,0.06
-9.368e-03,-1.13,0.1
-9.366e-03,-1.07,0.06
-9.364e-03,-1.13,0.06
-9.362e-03,-1.11,0.06
-9.360e-03,-1.13,0.06
-9.358e-03,-1.09,0.06
-9.356e-03,-1.11,0.1
-9.354e-03,-1.11,0.1
-9.352e-03,-1.07,0.06
-9.350e-03,-1.05,0.06
-9.348e-03,-1.09,0.06
-9.346e-03,-1.09,0.06
-9.344e-03,-1.09,0.06
-9.342e-03,-1.09,0.1
-9.340e-03,-1.11,0.06
-9.338e-03,-1.07,0.06
-9.336e-03,-1.11,0.06
-9.334e-03,-1.11,0.06
-9.332e-03,-1.09,0.1
-9.330e-03,-1.05,0.06
-9.328e-03,-1.07,0.1
-9.326e-03,-1.09,0.1
-9.324e-03,-1.03,0.06
-9.322e-03,-1.01,0.06
-9.320e-03,-1.05,0.1
-9.318e-03,-1.07,0.06
-9.316e-03,-1.09,0.02
-9.314e-03,-1.07,0.06
-9.312e-03,-1.05,0.06
-9.310e-03,-1.05,0.02
-9.308e-03,-1.05,0.1
-9.306e-03,-1.05,0.1
-9.304e-03,-1.07,0.1
-9.302e-03,-1.05,0.1
-9.300e-03,-1.03,0.06
-9.298e-03,-1.07,0.1
-9.296e-03,-1.07,0.06
-9.294e-03,-1.03,0.1
-9.292e-03,-1.01,0.06
-9.290e-03,-1.07,0.14
-9.288e-03,-1.07,0.06
-9.286e-03,-1.05,0.1
-9.284e-03,-0.99,0.06
-9.282e-03,-1.05,0.06
-9.280e-03,-1.01,0.06
-9.278e-03,-1.03,0.1
-9.276e-03,-1.03,0.1
-9.274e-03,-1.01,0.1
-9.272e-03,-1.03,0.06
-9.270e-03,-1.01,0.06
-9.268e-03,-0.99,0.06
-9.266e-03,-1.01,0.1
-9.264e-03,-1.01,0.06
-9.262e-03,-1.01,0.06
-9.260e-03,-0.99,0.06
-9.258e-03,-1.01,0.06
-9.256e-03,-1.01,0.06
-9.254e-03,-0.95,0.14
-9.252e-03,-0.99,0.06
-9.250e-03,-1.01,0.1
-9.248e-03,-0.97,0.06
-9.246e-03,-0.97,0.06
-9.244e-03,-0.95,0.1
-9.242e-03,-0.99,0.06
-9.240e-03,-0.97,0.1
-9.238e-03,-0.93,0.06
-9.236e-03,-0.97,0.06
-9.234e-03,-0.95,0.06
-9.232e-03,-0.95,0.02
-9.230e-03,-0.93,0.1
-9.228e-03,-0.93,0.06
-9.226e-03,-0.99,0.1
-9.224e-03,-0.93,0.06
-9.222e-03,-0.95,0.1
-9.220e-03,-0.95,0.06
-9.218e-03,-0.95,0.06
-9.216e-03,-0.91,0.1
-9.214e-03,-0.93,0.06
-9.212e-03,-0.93,0.1
-9.210e-03,-0.93,0.02
-9.208e-03,-0.91,0.1
-9.206e-03,-0.93,0.1
-9.204e-03,-0.91,0.06
-9.202e-03,-0.95,0.1
-9.200e-03,-0.91,0.1
-9.198e-03,-0.91,0.1
-9.196e-03,-0.91,0.1
-9.194e-03,-0.95,0.1
-9.192e-03,-0.89,0.06
-9.190e-03,-0.89,0.1
-9.188e-03,-0.89,0.06
-9.186e-03,-0.93,0.06
-9.184e-03,-0.91,0.14
-9.182e-03,-0.87,0.06
-9.180e-03,-0.93,0.06
-9.178e-03,-0.91,0.1
-9.176e-03,-0.89,0.1
-9.174e-03,-0.87,0.06
-9.172e-03,-0.89,0.06
-9.170e-03,-0.87,0.06
-9.168e-03,-0.87,0.06
-9.166e-03,-0.85,0.06
-9.164e-03,-0.91,0.06
-9.162e-03,-0.89,0.1
-9.160e-03,-0.87,0.1
-9.158e-03,-0.87,0.06
-9.156e-03,-0.87,0.06
-9.154e-03,-0.85,0.1
-9.152e-03,-0.87,0.1
-9.150e-03,-0.87,0.1
-9.148e-03,-0.83,0.06
-9.146e-03,-0.81,0.06
-9.144e-03,-0.85,0.06
-9.142e-03,-0.81,0.1
-9.140e-03,-0.85,0.1
-9.138e-03,-0.87,0.02
-9.136e-03,-0.83,0.06
-9.134e-03,-0.89,0.1
-9.132e-03,-0.83,0.1
-9.130e-03,-0.85,0.06
-9.128e-03,-0.83,0.06
-9.126e-03,-0.83,0.1
-9.124e-03,-0.85,0.06
-9.122e-03,-0.81,0.06
-9.120e-03,-0.85,0.1
-9.118e-03,-0.83,0.06
-9.116e-03,-0.85,0.06
-9.114e-03,-0.81,0.06
-9.112e-03,-0.81,0.1
-9.110e-03,-0.83,0.06
-9.108e-03,-0.79,0.06
-9.106e-03,-0.81,0.06
-9.104e-03,-0.79,0.06
-9.102e-03,-0.79,0.1
-9.100e-03,-0.83,0.1
-9.098e-03,-0.81,0.1
-9.096e-03,-0.79,0.1
-9.094e-03,-0.77,0.06
-9.092e-03,-0.77,0.06
-9.090e-03,-0.77,0.06
-9.088e-03,-0.77,0.06
-9.086e-03,-0.77,0.1
-9.084e-03,-0.77,0.06
-9.082e-03,-0.79,0.06
-9.080e-03,-0.75,0.06
-9.078e-03,-0.75,0.1
-9.076e-03,-0.77,0.06
-9.074e-03,-0.77,0.06
-9.072e-03,-0.73,0.1
-9.070e-03,-0.73,0.1
-9.068e-03,-0.73,0.02
-9.066e-03,-0.73,0.1
-9.064e-03,-0.73,0.06
-9.062e-03,-0.75,0.1
-9.060e-03,-0.73,0.06
